Versão:	V00004	Classificação nacional de profissões, versão 1994	
5	="2.1.4.2.37"	="Engenheiro técnico civil - construção de aeródromos"	
5	="2.1.4.2.40"	="Engenheiro técnico civil - construção de pontes"	
5	="2.1.4.2.42"	="Engenheiro técnico civil - estruturas"	
5	="2.1.4.2.45"	="Engenheiro técnico civil - higiene e salubridade"	
5	="2.1.4.2.47"	="Engenheiro técnico civil - hidráulico"	
5	="2.1.4.2.50"	="Engenheiro técnico civil - geotécnico"	
5	="2.1.4.2.52"	="Engenheiro técnico civil - arquitectura e urbanismo"	
5	="2.1.4.2.90"	="Outros engenheiros civis e engenheiros técnicos civis"	
4	="2.1.4.3"	="Engenheiros electrotécnicos e engenheiros técnicos electrotécnicos"	
5	="2.1.4.3.00"	="Engenheiro electrotécnico"	
5	="2.1.4.3.05"	="Engenheiro electrotécnico - sistemas de energia"	
5	="2.1.4.3.10"	="Engenheiro electrotécnico - automação,  controlo, instrumentação"	
5	="2.1.4.3.15"	="Engenheiro electrotécnico - telecomunicações"	
5	="2.1.4.3.20"	="Engenheiro técnico de electrónica e telecomunicações"	
5	="2.1.4.3.25"	="Engenheiro técnico de energia e sistemas de potência"	
5	="2.1.4.3.90"	="Outros engenheiros electrotécnicos e engenheiros técnicos electrónicos"	
4	="2.1.4.5"	="Engenheiros mecânicos e engenheiros técnicos mecânicos"	
5	="2.1.4.5.00"	="Engenheiro mecânico"	
5	="2.1.4.5.05"	="Engenheiro mecânico - concepção"	
5	="2.1.4.5.10"	="Engenheiro mecânico - produção"	
5	="2.1.4.5.15"	="Engenheiro naval"	
5	="2.1.4.5.20"	="Engenheiro técnico mecânico"	
5	="2.1.4.5.25"	="Engenheiro técnico mecânico - concepção"	
5	="2.1.4.5.30"	="Engenheiro técnico mecânico - produção"	
5	="2.1.4.5.90"	="Outros engenheiros mecânicos e engenheiros técnicos mecânicos"	
4	="2.1.4.6"	="Engenheiros químicos e engenheiros técnicos químicos"	
5	="2.1.4.6.05"	="Engenheiro químico"	
5	="2.1.4.6.10"	="Engenheiro técnico químico"	
5	="2.1.4.6.90"	="Outros engenheiros químicos e engenheiros técnicos químicos"	
4	="2.1.4.7"	="Engenheiros de minas, metalúrgicos e engenheiros técnicos de minas e similares"	
5	="2.1.4.7.05"	="Engenheiro de minas"	
5	="2.1.4.7.10"	="Engenheiro de minas - minérios não metálicos"	
5	="2.1.4.7.15"	="Engenheiro de minas - minérios metálicos"	
5	="2.1.4.7.20"	="Engenheiro de minas - extracção de petróleo, de gás natural e de fluídos geotérmicos"	
5	="2.1.4.7.25"	="Engenheiro de minas - rochas ornamentais e industriais"	
5	="2.1.4.7.30"	="Engenheiro de minas - hidrologia subterrânea"	
5	="2.1.4.7.35"	="Engenheiro metalúrgico"	
5	="2.1.4.7.40"	="Engenheiro técnico de minas"	
5	="2.1.4.7.90"	="Outros engenheiros de minas, metalúrgicos e engenheiros técnicos de minas e similares"	
4	="2.1.4.8"	="Engenheiros geógrafos e hidrógrafos"	
5	="2.1.4.8.05"	="Engenheiro geógrafo"	
5	="2.1.4.8.10"	="Engenheiro hidrógrafo"	
5	="2.1.4.8.90"	="Outros engenheiros geógrafos e hidrógrafos"	
2	="2.2"	="Especialistas das ciências da vida e profissionais da saúde"	
3	="2.2.1"	="Especialistas das ciências da vida"	
4	="2.2.1.1"	="Biólogos e especialistas similares"	
5	="2.2.1.1.05"	="Biólogo"	
5	="2.2.1.1.10"	="Microbiologista"	
5	="2.2.1.1.15"	="Bacteriologista"	
5	="2.2.1.1.20"	="Virologista"	
5	="2.2.1.1.25"	="Biólogo - especialista em genética"	
5	="2.2.1.1.30"	="Biólogo - especialista em zoologia"	
5	="2.2.1.1.35"	="Biólogo - especialista em botânica"	
5	="2.2.1.1.40"	="Biólogo - especialista em ecologia"	
5	="2.2.1.1.90"	="Outros biólogos e especialistas similares"	
4	="2.2.1.2"	="Farmacologistas, patologistas e outros especialistas das ciências da vida"	
5	="2.2.1.2.05"	="Anatomista"	
5	="2.2.1.2.10"	="Bioquímico"	
5	="2.2.1.2.15"	="Biofísico"	
5	="2.2.1.2.20"	="Patologista"	
5	="2.2.1.2.25"	="Farmacologista"	
5	="2.2.1.2.30"	="Imunologista"	
5	="2.2.1.2.35"	="Fisiologista"	
5	="2.2.1.2.40"	="Biotecnólogo"	
5	="2.2.1.2.90"	="Outros farmacologistas, patologistas e outros especialistas das ciências da vida"	
4	="2.2.1.3"	="Engenheiros agrónomos e engenheiros técnicos agrários"	
5	="2.2.1.3.05"	="Engenheiro agrónomo"	
5	="2.2.1.3.10"	="Engenheiro (silvicultor) florestal"	
5	="2.2.1.3.15"	="Engenheiro agro-industrial"	
5	="2.2.1.3.20"	="Engenheiro técnico agrário - produção agrícola"	
5	="2.2.1.3.25"	="Engenheiro técnico agrário - produção animal"	
5	="2.2.1.3.30"	="Engenheiro técnico agrário - produção florestal"	
5	="2.2.1.3.35"	="Engenheiro técnico agrário - engenharia agrícola"	
5	="2.2.1.3.40"	="Engenheiro técnico agrário - tecnologia dos produtos alimentares"	
5	="2.2.1.3.90"	="Outros engenheiros agrónomos e engenheiros técnicos agrários"	
3	="2.2.2"	="Médicos e profissões similares - à excepção dos enfermeiros"	
4	="2.2.2.1"	="Médicos"	
5	="2.2.2.1.02"	="Médico anatomo-patologista"	
